Starting Inheritance SGA Optimization
Feature count range: 30 -> 10

=== Current Feature Count: 30 ===
  Gen 230 | Best MCC: 0.6800
  Gen 240 | Best MCC: 0.6800
  Gen 250 | Best MCC: 0.6800
  Gen 260 | Best MCC: 0.6800
  Gen 270 | Best MCC: 0.6800
  Gen 280 | Best MCC: 0.6800
  Gen 290 | Best MCC: 0.6800
  Gen 300 | Best MCC: 0.6800
  Gen 310 | Best MCC: 0.6800
  Gen 320 | Best MCC: 0.6800
  Gen 330 | Best MCC: 0.6800
  Gen 340 | Best MCC: 0.6800
  Gen 350 | Best MCC: 0.6800
  Gen 360 | Best MCC: 0.6800
  Gen 370 | Best MCC: 0.6800
  Gen 380 | Best MCC: 0.6800
  Gen 390 | Best MCC: 0.6800
  Gen 400 | Best MCC: 0.6800
  Gen 410 | Best MCC: 0.6800
  Gen 420 | Best MCC: 0.6800
  Gen 430 | Best MCC: 0.6800
  Gen 440 | Best MCC: 0.6800
  Gen 450 | Best MCC: 0.6800
  Gen 460 | Best MCC: 0.6800
  Gen 470 | Best MCC: 0.6800
  Gen 480 | Best MCC: 0.6800
  Gen 490 | Best MCC: 0.6800
  Gen 500 | Best MCC: 0.6800
  Gen 510 | Best MCC: 0.6800
  Gen 520 | Best MCC: 0.6800
  Gen 530 | Best MCC: 0.6800
  Gen 540 | Best MCC: 0.6800
  Gen 550 | Best MCC: 0.6800
  Gen 560 | Best MCC: 0.6800
  Gen 570 | Best MCC: 0.6800
  Gen 580 | Best MCC: 0.6800
  Gen 590 | Best MCC: 0.6800
  Gen 600 | Best MCC: 0.6800
  Gen 610 | Best MCC: 0.6800
  Gen 620 | Best MCC: 0.6800
  Gen 630 | Best MCC: 0.6882
  Gen 640 | Best MCC: 0.6882
  Gen 650 | Best MCC: 0.6882
  Gen 660 | Best MCC: 0.6882
  Gen 670 | Best MCC: 0.6882
  Gen 680 | Best MCC: 0.6882
  Gen 690 | Best MCC: 0.6882
