logFC,AveExpr,t,P.Value,adj.P.Val,B
X1857_.hsa.mir.92a.2,0.897189892132316,15.0183131278365,9.14984990676706,2.53942833524529e-18,1.070753722636e-17,30.3637818808994
X1842_.hsa.mir.889,-2.04533147589183,1.5647951251274,-9.14950629107667,2.54616596465461e-18,1.070753722636e-17,30.361161395931
X1274_.hsa.mir.548j,-0.945923224815745,1.69803370313462,-9.1277345570248,3.01121732161229e-18,1.25511801635344e-17,30.1952592851955
X430_.hsa.mir.3173,-1.08466701288864,2.04010963096154,-9.03322457325529,6.21872585792666e-18,2.56931568340654e-17,29.4781530134144
X1789_.hsa.mir.7976,-0.681801747584107,0.830273199240385,-9.01234383720624,7.29458153801125e-18,2.98760687339417e-17,29.3203940147299
X1856_.hsa.mir.92a.1,0.868485699211755,15.1801862801202,8.96641968908993,1.03525024287376e-17,4.20347296890982e-17,28.9742928586918
X227_.hsa.mir.182,-2.52136962972599,10.6096930808582,-8.94634445484978,1.20600910641565e-17,4.85495973608353e-17,28.823374296922
X403_.hsa.mir.3150b,-1.75969446697795,3.17843797498077,-8.90736396484604,1.62113231026119e-17,6.47079083163576e-17,28.5309883489743
X254_.hsa.mir.195,-1.37159942630499,1.58687966415144,-8.79650852274362,3.74232792107903e-17,1.48120710153632e-16,27.7042453729392
X271_.hsa.mir.200b,-1.2087352046222,2.76848794277885,-8.76286689220854,4.81730703713361e-17,1.89079301207494e-16,27.4547562391426
X241_.hsa.mir.190b,-1.26975941877483,1.62927049250721,-8.71113031474317,7.09422903728485e-17,2.76147262525716e-16,27.0723604824354
X168_.hsa.mir.130b,-1.12265636940613,7.03034074351683,-8.59067909493058,1.73654456909605e-16,6.70420075446097e-16,26.1881743500208
X265_.hsa.mir.199a.2,-1.31253804289439,8.56128818458413,-8.57285677285894,1.9810778762665e-16,7.58607869692293e-16,26.0580771664035
X256_.hsa.mir.196a.2,-1.413745873039,1.2870900440625,-8.54894617308392,2.36339563394215e-16,8.97709148053832e-16,25.883834894499
X358_.hsa.mir.30e,-0.80191766098779,15.1053322096154,-8.50757748119658,3.20466795514403e-16,1.20751888549827e-15,25.5831787655339
X493_.hsa.mir.33a,-1.38044606379716,4.62439491811058,-8.49939458515164,3.40322282909269e-16,1.27215710516084e-15,25.5238293468261
X990_.hsa.mir.4707,-0.94325789730636,0.931524021961538,-8.48699987157083,3.72737361881373e-16,1.38235667280415e-15,25.4340088665486
X907_.hsa.mir.454,-1.28082904286605,4.65847024914423,-8.4696838397808,4.23192757308731e-16,1.55721709915947e-15,25.3086800719174
X207_.hsa.mir.152,-1.37366583047968,4.80092456474038,-8.39429311464484,7.33991236094985e-16,2.6799214899282e-15,24.7651351439471
X1528_.hsa.mir.671,-0.830026033074081,4.16339035964183,-8.38455454008222,7.87910060176581e-16,2.85465875648592e-15,24.6951745280694
X226_.hsa.mir.181d,1.56154911619483,6.2292545866875,8.2291106293231,2.42400644355989e-15,8.71532087722677e-15,23.5863534875864
